Reset,Reset
"%1 counters was reset successfully","%1 counters was reset successfully"
"Unable to reset counter","Unable to reset counter"
"Unable to properly generate next increment id","Unable to properly generate next increment id"
"Counter with id ""%1"" does not exist.","Counter with id ""%1"" does not exist."
"Could not delete the counter with id %1: %2","Could not delete the counter with id %1: %2"
"Custom number format for %1 not set.","Custom number format for %1 not set."
"Invalid %1 number pattern, it must include one of the following parts: %2","Invalid %1 number pattern, it must include one of the following parts: %2"
"Invalid %s number pattern. Please change the pattern. Example number format: %s","Invalid %s number pattern. Please change the pattern. Example number format: %s"
Never,Never
"Each Day","Each Day"
"Each Month","Each Month"
"Each Year","Each Year"
"Are you sure you want to reset the order counter?","Are you sure you want to reset the order counter?"
"Are you sure you want to reset the invoice counter?","Are you sure you want to reset the invoice counter?"
"Are you sure you want to reset the shipping counter?","Are you sure you want to reset the shipping counter?"
"Are you sure you want to reset the creditmemo counter?","Are you sure you want to reset the creditmemo counter?"
"Order Number","Order Number"
General,General
Enabled,Enabled
"Timezone offset","Timezone offset"
"Use Separate Connection For Counter Generation","Use Separate Connection For Counter Generation"
Order,Order
"Number Format","Number Format"
"You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {country_code}. If you type ORD-{yy}-{mm}-{dd}-{counter} in the field, you will have order numbers of the kind: ORD-13-08-15-000077","You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {country_code}. If you type ORD-{yy}-{mm}-{dd}-{counter} in the field, you will have order numbers of the kind: ORD-13-08-15-000077"
"Start Counter From","Start Counter From"
"Counter Increment Step","Counter Increment Step"
"E.g. the last number is 00015. If increment step is 4, the next number will be 00019","E.g. the last number is 00015. If increment step is 4, the next number will be 00019"
"Counter Padding","Counter Padding"
"Total number of digits in the order number. If the order id is 24 and padding is 6, the result will be 000024. Set to 0 (zero) not to add leading zeros.","Total number of digits in the order number. If the order id is 24 and padding is 6, the result will be 000024. Set to 0 (zero) not to add leading zeros."
"Reset Counter on Date Change","Reset Counter on Date Change"
"Separate Counter per Website","Separate Counter per Website"
"Separate Counter per Store View","Separate Counter per Store View"
"Reset Order Counter","Reset Order Counter"
Invoice,Invoice
"Same as Order Number","Same as Order Number"
Prefix,Prefix
"Will be added before the order number","Will be added before the order number"
"Part of the order number to replace with the prefix","Part of the order number to replace with the prefix"
"If you have the order number as `11/13-order`, you can replace the `-order` part with the prefix instead of adding it in the beginning.","If you have the order number as `11/13-order`, you can replace the `-order` part with the prefix instead of adding it in the beginning."
"You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {order_id}, {country_code}. If you type INV-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077","You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {order_id}, {country_code}. If you type INV-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077"
"Reset Invoice Counter","Reset Invoice Counter"
Shipping,Shipping
"You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {order_id}, {country_code}. If you type SHI-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077","You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {order_id}, {country_code}. If you type SHI-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077"
"Reset Shipping Counter","Reset Shipping Counter"
"Credit Memo","Credit Memo"
"You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {rand}, {order_id}, {country_code}. If you type MEMO-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077","You can use variables {counter}, {store}, {yyyy}, {yy}, {m}, {mm}, {d}, {dd}, {rand}, {rand}, {order_id}, {country_code}. If you type MEMO-{yy}-{mm}-{dd}-{counter} in the field, you will have invoice numbers of the kind: INV-13-08-15-000077"
