"Store Pickup","Store Pickup"
"Save and Continue Edit","Save and Continue Edit"
"Method Information","Method Information"
"Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly.","Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly."
Labels,Labels
"To display correctly store pickup method name, use the variable %1 in Method Label field.","To display correctly store pickup method name, use the variable %1 in Method Label field."
"Store View Specific Labels","Store View Specific Labels"
"Default Label for All Store Views","Default Label for All Store Views"
"Method Label","Method Label"
Comment,Comment
General,General
Name,Name
"HTML tags <b>, <u>, <i>, <s> are supported.
                    For example: This is a <b>Bold text</b>. To learn more, refer to this page: ","HTML tags <b>, <u>, <i>, <s> are supported.
                    For example: This is a <b>Bold text</b>. To learn more, refer to this page: "
"HTML Styles - CSS","HTML Styles - CSS"
Image,Image
"Please use {IMG} in Comment field to insert an image","Please use {IMG} in Comment field to insert an image"
Status,Status
"Pickup Stores","Pickup Stores"
Stores,Stores
"Add New Store","Add New Store"
Country,Country
State,State
City,City
"Zip From","Zip From"
"Zip To","Zip To"
"Store Name","Store Name"
Action,Action
Delete,Delete
"Are you sure?","Are you sure?"
"Stores & Customer Groups","Stores & Customer Groups"
"Visible In","Visible In"
"Leave empty if there are no restrictions","Leave empty if there are no restrictions"
"Applicable For","Applicable For"
"Customer Groups","Customer Groups"
"Method Options","Method Options"
Back,Back
"Save and Add New Store","Save and Add New Store"
Save,Save
"Edit Rate","Edit Rate"
"Store Information","Store Information"
"Store Displaying Conditions","Store Displaying Conditions"
"Make sure that the display conditions will not overlap conditions in previously created stores.","Make sure that the display conditions will not overlap conditions in previously created stores."
"Here you can set Store name that will be used for the {store} variable in the Store Pickup method name","Here you can set Store name that will be used for the {store} variable in the Store Pickup method name"
"Store Pickup Amount","Store Pickup Amount"
"Base Rate for the Order","Base Rate for the Order"
by,by
"Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension.","Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension."
"Record does not exist","Record does not exist"
"Shipping method has been successfully deleted","Shipping method has been successfully deleted"
"Record does not exist.","Record does not exist."
"Edit Store Pickup Method `%1`","Edit Store Pickup Method `%1`"
"Add new Store Pickup Method","Add new Store Pickup Method"
"Store Pickups Methods","Store Pickups Methods"
"Record(s) have been updated.","Record(s) have been updated."
"We can't activate method(s) right now. Please review the log and try again. ","We can't activate method(s) right now. Please review the log and try again. "
"Method(s) were successfully deleted","Method(s) were successfully deleted"
"We can't delete method(s) right now. Please review the log and try again. ","We can't delete method(s) right now. Please review the log and try again. "
"Shipping rates have been successfully saved","Shipping rates have been successfully saved"
"Unable to find a record to save","Unable to find a record to save"
"Unable to find a rate to delete","Unable to find a rate to delete"
"Rate has been deleted","Rate has been deleted"
"Unable to find a rate to save","Unable to find a rate to save"
"Rate has been successfully saved","Rate has been successfully saved"
"This rate already exist!","This rate already exist!"
Inactive,Inactive
Active,Active
"As in ""Ship Bundle Items"" setting","As in ""Ship Bundle Items"" setting"
"From bundle product","From bundle product"
"From items in bundle","From items in bundle"
"From associated products","From associated products"
"From parent product","From parent product"
"Strings, e.g. AB2%","Strings, e.g. AB2%"
"Numbers, e.g. from 111 to 222 or from AB2 to AB19","Numbers, e.g. from 111 to 222 or from AB2 to AB19"
None,None
"Volumetric weight attribute","Volumetric weight attribute"
"Volume attribute","Volume attribute"
"Dimensions attribute","Dimensions attribute"
"Separate dimension attribute","Separate dimension attribute"
"Specify a valid method ID.","Specify a valid method ID."
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
Price,Price
"Method Title","Method Title"
"Carrier Title","Carrier Title"
Next,Next
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Field ","Field "
" is required."," is required."
"Amasty Store Pickup","Amasty Store Pickup"
"Enabled for Checkout","Enabled for Checkout"
Title,Title
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Displayed Error Message","Displayed Error Message"
"Compare post codes as","Compare post codes as"
"Sort order","Sort order"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Hide Store Pickup Methods","Hide Store Pickup Methods"
"Are you sure you want to delete the selected method(s)?","Are you sure you want to delete the selected method(s)?"
Activate,Activate
Inactivate,Inactivate
ID,ID
"Is Active","Is Active"
